Lname,Fname,Freq,Times,Rank,Regiment
AGER,GEORGE SAMUEL,0.0,0,Lieutenant,
ALEXANDER,JAMES MORROW,0.0,0,Sub-Lieutenant,
ALLEN,REGINALD ARTHUR SINCLAIR,0.0,0,Captain,
ANDERSON,WILLIAM JAMES,0.0,0,Major,
ANDREWS,FREDERICK CHARLES,0.0,0,Second Lieutenant,
ANDREWS,GORDON STEWART,0.0,0,Lieutenant,
ANDREWS,HECTOR GEORGE ROBERT FRANK,0.0,0,Lieutenant,
BAKER,ALFRED PARKES,0.0,0,Lieutenant,
BALL,ALBERT RANSOME,0.0,0,Lieutenant,
BASTEDO,ALFRED CARBERT,0.0,0,Captain,
BECHER,ARCHIBALD VICTOR,0.0,0,Major,
BECHER,HENRY CAMPBELL,0.0,0,Major,
BELL,ANDREW LESLIE,0.0,0,Lieutenant,
BELL-IRVING,DUNCAN PETER,0.0,0,Lieutenant,
BENNETT,GEORGE W,0.0,0,Captain,
BENTLEY,FREELAND MARTELL,0.0,0,Lieutenant,
BEVAN,PERCIVAL JOHNSTONE,0.0,0,Lieutenant,
BICKFORD,SHIRLEY,0.0,0,Private,
BIRCH REYNARDSON,EDWARD VERE,0.0,0,Lieutenant,
BIRCHALL,ARTHUR PERCIVAL,0.0,0,Lieutenant Colonel,
BLACK,FERGUS,0.0,0,Lieutenant,
BOGGS,HERBERT BEAUMONT,0.0,0,Lieutenant,
BOGLE,GEORGE STAFFORD,0.0,0,Second Lieutenant,
BOLSTER,HERBERT GEORGE,0.0,0,Major,
BOND,FREDERICK HAMILTON BLIGH,0.0,0,Second Lieutenant,
BONE,JOHN TURNER,0.0,0,Flight Sub Lieutenant,
BOWIE,GEORGE PIGRUM,0.0,0,Captain,
BOYLE,RUSSELL LAMBERT,0.0,0,Lieutenant Colonel,
BRANT,CAMERON DONALD,0.0,0,Lieutenant,
BRIDGES,SIR WILLIAM THORSEBY,0.0,0,Major General,
BRISCOE,ROSS DICKINSON,0.0,0,Lieutenant,
BROMLEY,HERBERT ASHETON,0.0,0,Lieutenant,
BROTHERHOOD,WILFRED CASHEL,0.0,0,Lieutenant,
BROWN,ARTHUR KENNISH,0.0,0,Private,
BROWN,CHRISTOPHER,0.0,0,Private,
BROWN,MILES WHEELRON,0.0,0,Lieutenant,
BUSCOMBE,ROBERT FREDERICK EDWIN,0.0,0,Lieutenant,
BUSH,JOHN WHELER,0.0,0,Second Lieutenant,
CALDERWOOD,ALEX TAYLOR,0.0,0,Second Lieutenant,
CAMERON,DONALD EWAN,0.0,0,Lieutenant,
CAMPBELL,FREDERICK WILLIAM,0.0,0,Captain,
CARROL,JAMES WILLIAM,0.0,0,Lieutenant,
