Lname,Fname,Freq,Times
ABBOTT,null,6.0842052E-5,4,null
ABLARD,null,1.5210513E-5,1,null
ABNETT,null,1.5210513E-5,1,null
ABRAHAMSEN,null,1.5210513E-5,1,null
ADAMS,null,1.8252616E-4,12,null
ADAMSON,null,4.563154E-5,3,null
ADAMTHWAITE,null,1.5210513E-5,1,null
ADCOCK,null,1.5210513E-5,1,null
ADDISON,null,1.5210513E-5,1,null
ADES,null,1.5210513E-5,1,null
ADSHEAD,null,1.5210513E-5,1,null
AERTS,null,1.5210513E-5,1,null
AGER,null,1.5210513E-5,1,null
AIKENHEAD,null,1.5210513E-5,1,null
AIKENS,null,1.5210513E-5,1,null
AITCHISON,null,1.5210513E-5,1,null
AITKEN,null,3.0421026E-5,2,null
AITKENS,null,3.0421026E-5,2,null
ALBROW,null,1.5210513E-5,1,null
ALCHORN,null,1.5210513E-5,1,null
ALCOCK,null,1.5210513E-5,1,null
ALDERSLEY,null,1.5210513E-5,1,null
ALDERSON,null,1.5210513E-5,1,null
ALEK,null,1.5210513E-5,1,null
ALEXANDER,null,1.0647359E-4,7,null
ALLAN,null,9.126308E-5,6,null
ALLARD,null,1.5210513E-5,1,null
ALLEN,null,7.6052565E-5,5,null
ALLINGHAM,null,4.563154E-5,3,null
ALLISON,null,3.0421026E-5,2,null
AMES,null,1.5210513E-5,1,null
AMOS,null,3.0421026E-5,2,null
AMY,null,1.5210513E-5,1,null
ANCHOR,null,1.5210513E-5,1,null
ANDERSON,null,2.7378925E-4,18,null
ANDREW,null,3.0421026E-5,2,null
ANDREWS,null,1.0647359E-4,7,null
ANGELL,null,1.5210513E-5,1,null
ANNAND,null,1.5210513E-5,1,null
ANNETTS,null,1.5210513E-5,1,null
ANSEN,null,1.5210513E-5,1,null
ANTHONY,null,1.5210513E-5,1,null
ARCHER,null,3.0421026E-5,2,null
ARKWELL,null,1.5210513E-5,1,null
ARMSTRONG,null,9.126308E-5,6,null
ARNELL,null,3.0421026E-5,2,null
ARNOLD,null,6.0842052E-5,4,null
