Lname,Fname,Freq,Times
AABEL,null,1.608762E-6,1,null
AADLAND,null,1.608762E-6,1,null
AADNESON,null,1.608762E-6,1,null
AALTEN,null,1.608762E-6,1,null
AARHUS,null,1.608762E-6,1,null
AARON,null,1.1261333E-5,7,null
AARONS,null,3.217524E-6,2,null
AARONSON,null,4.826286E-6,3,null
AARSETH,null,1.608762E-6,1,null
AARSTAD,null,3.217524E-6,2,null
AASEN,null,8.043809E-6,5,null
AASLAND,null,1.608762E-6,1,null
ABAR,null,1.608762E-6,1,null
ABARE,null,1.608762E-6,1,null
ABATE,null,3.217524E-6,2,null
ABAVICK,null,1.608762E-6,1,null
ABBA,null,1.608762E-6,1,null
ABBATTICOLA,null,1.608762E-6,1,null
ABBEY,null,3.0566476E-5,19,null
ABBIE,null,4.826286E-6,3,null
ABBIS,null,1.608762E-6,1,null
ABBISS,null,1.2870096E-5,8,null
ABBOTT,null,3.4910135E-4,217,null
ABBOTTS,null,3.217524E-6,2,null
ABBOTT-SMITH,null,1.608762E-6,1,null
ABBS,null,1.1261333E-5,7,null
ABDAIL,null,1.608762E-6,1,null
ABDALLA,null,1.608762E-6,1,null
ABDEE,null,3.217524E-6,2,null
ABDEEN,null,1.608762E-6,1,null
ABDEY,null,3.217524E-6,2,null
ABDOU,null,1.608762E-6,1,null
ABDUL,null,3.217524E-6,2,null
ABDULLA,null,1.608762E-6,1,null
ABDULLIN,null,1.608762E-6,1,null
ABEAR,null,1.608762E-6,1,null
ABEL,null,7.239429E-5,45,null
ABELA,null,4.826286E-6,3,null
ABELE,null,1.608762E-6,1,null
ABELEA,null,1.608762E-6,1,null
ABELL,null,2.413143E-5,15,null
ABELLE,null,1.608762E-6,1,null
ABELLS,null,1.608762E-6,1,null
ABELNEEKS,null,1.608762E-6,1,null
ABELSON,null,3.217524E-6,2,null
ABENDANA,null,1.608762E-6,1,null
ABENS,null,1.608762E-6,1,null
ABER,null,1.608762E-6,1,null
ABERCOMBIE,null,1.608762E-6,1,null
ABERCROMBIE,null,2.413143E-5,15,null
ABERCROMBY,null,3.217524E-6,2,null
ABERDEEN,null,6.435048E-6,4,null
ABERNATHY,null,1.608762E-6,1,null
ABERNETHY,null,5.6306668E-5,35,null
ABERY,null,9.652572E-6,6,null
ABEY,null,4.826286E-6,3,null
ABICHT,null,1.608762E-6,1,null
ABICK,null,1.608762E-6,1,null
ABIGAIL,null,6.435048E-6,4,null
ABINOVITCH,null,1.608762E-6,1,null
ABLAHADIAN,null,1.608762E-6,1,null
ABLARD,null,1.608762E-6,1,null
ABLE,null,4.826286E-6,3,null
ABLESON,null,3.217524E-6,2,null
ABLETT,null,8.043809E-6,5,null
ABLEWHITE,null,1.608762E-6,1,null
ABLEY,null,4.826286E-6,3,null
ABLITT,null,1.608762E-6,1,null
ABNEY,null,1.608762E-6,1,null
ABONNEAU,null,1.608762E-6,1,null
ABOTT,null,1.608762E-6,1,null
ABOUD,null,3.217524E-6,2,null
ABOUKATER,null,1.608762E-6,1,null
ABRA,null,3.217524E-6,2,null
ABRAHAM,null,7.078553E-5,44,null
ABRAHAMS,null,2.0913905E-5,13,null
ABRAHAMSEN,null,1.608762E-6,1,null
ABRAHAMSON,null,2.5740192E-5,16,null
ABRAHART,null,3.217524E-6,2,null
ABRAM,null,2.7348953E-5,17,null
ABRAMCHUK,null,1.608762E-6,1,null
ABRAMOFF,null,4.826286E-6,3,null
ABRAMOVICH,null,3.217524E-6,2,null
ABRAMOVITCH,null,3.217524E-6,2,null
ABRAMS,null,4.182781E-5,26,null
ABRAMSKY,null,1.608762E-6,1,null
ABRAMSON,null,6.435048E-6,4,null
ABRAN,null,4.826286E-6,3,null
