LnameCas,FnameCas,LnameSol,FnameSol,Regiment,RankCasualtie,RankSoldier,Junk
ABBOTT,CHARLES HENRY,10657,Lance Corporal,0
ABBOTT,HENRY HARRY,60801,Corporal,0
ABNETT,ALFRED,L/7748,Private,0
AERTS,LAURENT,3860,Private,0
AGER,GEORGE SAMUEL,,Lieutenant,0
ALCHORN,FENTON JAMES,672,Private,0
ALEXANDER,DAVID ARTHUR HENRY,1400,Private,0
ALEXANDER,JAMES MORROW,,Sub-Lieutenant,0
ALEXANDER,JOHN,20657,Private,0
ALLAN,GUY,10653,Lance Serjeant,0
ALLARD,ALPHONSE,504,Quartermaster Sergeant,0
ALLEN,REGINALD ARTHUR SINCLAIR,,Captain,0
ALLEN,SYDNEY,746,Private,0
ANDERSON,EMMANUEL JOHN,21557,Private,0
ANDERSON,WILLIAM,A/20823,Private,0
ANDERSON,WILLIAM JAMES,,Major,0
ANDREWS,FREDERICK CHARLES,,Second Lieutenant,0
ANDREWS,GORDON STEWART,,Lieutenant,0
ANDREWS,HECTOR GEORGE ROBERT FRANK,,Lieutenant,0
ANNETTS,THOMAS WILLIAM,7906,Corporal,0
ARNELL,JAMES ALEXANDER,A/34446,Private,0
ARWINE,MARION NEWTON,R4/124811,Private,0
ASBURY,ARTHUR GERARD,45044,Sapper,0
ASHFORD,THOMAS,16105,Private,0
ASHTON,ROBERT JAMES,20765,Private,0
ATTREE,BENJAMIN RUPERT,L/ 8745,Private,0
AUBIN,ALBERT LOUIS,1710,Private,0
AYERS,WILLIAM BLANCHARD,428268,Private,0
BACKHURST,FREDERICK JOHN,1624,Private,0
BAIN,DAVID,A/2028,Private,0
BAIRD,WILLIAM,S/10164,Private,0
BAKER,ALFRED PARKES,,Lieutenant,0
BAKER,ERNEST,6174,Private,0
BAKER,PERCY IRVINE,65040,Private,0
BALL,ALBERT RANSOME,,Lieutenant,0
BANKS,JAMES ARTHUR,A/6358,Private,0
BANNON,JAMES CHARLES,79897,Private,0
BARDWELL,MARCUS GEORGE,2755,Private,0
BARKER,WILLIAM SIDNEY,77500,Private,0
BARKEY,ALFRED (ANGELO),27448,Private,0
BARNES,WILLIAM ALFRED,A/1550,Private,0
BARNHARDT,FRED,A/2464,Private,0
BARRINGTON,ALBERT,27738,Private,0
BARTLETT,GORDON,3010,Corporal,0
BASTEDO,ALFRED CARBERT,,Captain,0
BATTEN,JOSEPH RICHARD,8323,Private,0
BEATS,THOMAS,23021,Private,0
BEATTIE,THOMAS,6780,Private,0
BECHER,ARCHIBALD VICTOR,,Major,0
BECHER,HENRY CAMPBELL,,Major,0
BEECROFT,PERCY,L/7665,Private,0
BEGG,WILLIAM,9157,Private,0
BELL,ANDREW LESLIE,,Lieutenant,0
BELL-IRVING,DUNCAN PETER,,Lieutenant,0
BELLAMY,LEONARD,144/AM,Private,0
BELLIS,JOHN,Z/20,Private,0
BENFIELD,FRANCIS,9407,Lance Corporal,0
BENNETT,GEORGE W,,Captain,0
BENTLEY,FREELAND MARTELL,,Lieutenant,0
BETTS,JOHN GEORGE,59034,Corporal,0
BEVAN,PERCIVAL JOHNSTONE,,Lieutenant,0
BICKFORD,SHIRLEY,,Private,0
