Abbreviation,Name
BOY,Boy
CAP,Captain
CMD,Commander
CPt,Captain
EAT,
EIM,
ETT,
FIL,
GEN,General
HLT,
IUT,
LCD,
LCp,Lance Corporal
LOI,
LS,Leading Seaman
MSG,
MSM,
OC,
ONL,
PIO,Pioneer
PTE,Private
QSM,
Rank,
SGR,
SMJ,
W,
WA,
CQM,Company Quarter Master Sergeant
LTC,Lieutenant Colonel
Lt,Lieutenant
SAP,Sapper
CMS,Company Quarter Master Sergeant
BDM,
LGN,
PMJ,
SCO,		
CON,Commander
TRP,		
WO,Wireless Operator
2LT,Second Lieutenant
MG,Major General
ORS,
SDR,Saddler
SSM,Squadron Serjeant Major (WO.II)
BG,Brigadier General
BSM,Battery Sergeant Major (WO.II)
DRV,Driver
COL,Colonel
RFN,Rifleman
SM,Sergeant Major
PNR,Pioneer
2CP,Second Corporal
RSM,Regimental Sergeant Major (WO.I)
LSG,Lance Sergeant
CHP,
BDN,
SIG,Signaller
CDT,Cadet
TPR,Trooper
LCL,Lieutenant Colonel
CSM,Company Sergeant Major
SS,Staff Sergeant
BDR,Bombardier
QMS,Quartermaster Sergeant
MAJ,Major
NS,Nursing Sister
DVR,Driver
LCP,Lance Corporal
CPT,Captain
CPL,Corporal
GNR,Gunner
LT,Lieutenant
SGT,Sergeant
SPR,Sapper
