Lname,Fname,Freq,Times,Rank,Regiment
ABLARD,HENRY CHARLES,7813,Sergeant,0
ALEK,MIKE,27991,Private,0
ANDREWS,FREDERICK RUSSELL,51041,Private,0
ANDREWS,GORDON STEWART,,Lieutenant,0
ANDREWS,HECTOR GEORGE ROBERT FRANK,,Lieutenant,0
AUBERTIN,OLIVIA,448007,Private,0
BADLEY,SIDNEY,514,Private,0
BALL,FREDERICK DRAPER,81037,Private,0
BARONIAN,BAQHASAH (BALTHAZAR),19368,Private,0
BARTLE,ERIC LESLIE,7605,Private,0
BEATTY,FRANK,219433,Private,0
BELL,FREDERICK,77981,Private,0
BERARD,DELPHIS,23628,Private,0
BERTIN,HENRI ISAAC,70247,Private,0
BICKERSTAFF,EVERELL MOORE,10009,Private,0
BLACK,FERGUS,,Lieutenant,0
BLAIR,STUART CARLYLE,22942,Private,0
BLAKE,LOUIS,27168,Private,0
BLUNDY,ISADORE G,27805,Private,0
BOLAND,SIDNEY,27442,Private,0
BOUCH,WILFRED,16863,Private,0
BOULICH,ANTONY,23244,Private,0
BOWMAN,LESLIE WILLIS,9764,Private,0
BRINKWORTH,FREDERICK GEORGE,11560,Private,0
BROWN,CHRISTOPHER,,Private,0
BURCH,ARTHUR THOMAS,27,Private,0
BURGE,CLIFFORD,31,Private,0
CAIE,ALEXANDER,28964,Private,0
CARR,FREDERICK GEORGE,8425,Private,0
CARTER,FREDERICK NELSON,27806,Private,0
CARTER,STEWART,29200,Private,0
CHAMBERS,SAMUEL WALLACE GRAHAM,,Lieutenant,0
CHEDGEY,THOMAS GEORGE,22976,Private,0
CHURCHILL,ARTHUR NORTON HICKLING,,Lieutenant,0
CLARK,WELDON HARRY,426220,Private,0
COLSON,ARCHIBALD,106145,Private,0
CONNORS,CHRISTOPHER,11462,Private,0
COOKE,CYRIL ANNESLEY,,Captain,0
COTE,GEORGES FREDERIC,22852,Private,0
CRAIG,RAY JONATHAN,109283,Private,0
CUNNINGHAM,ALEXANDER,24467,Private,0
DABATE,DAVID,25702,Private,0
DAVIDSON,ARCHIBALD HAROLD,27811,Private,0
DEMEULE,EDGAR,32792,Private,0
DEVLIN,ARCHIBALD,26541,Private,0
DIVIDENKO,GEORGE,19361,Private,0
DOSTIE,AMEDI,428260,Private,0
