LnameCas,FnameCas,LnameSol,FnameSol,Regiment,RankCasualtie,RankSoldier,Junk
ABRAHAMSEN,JOHN,ABRAHAMSON,JOHN,7825,7825,Private,0
AMY,RAULIN,AMY JR,RAULIN,63057,63057,Lance Corporal,0
ASHER,HERBERT,ASPINALL,HARRY,6274,6274,Private,0
AUGIN,JOSEPH,ANGIN,JOSEPH,108069,108069,Private,0
BANISTER,JOHN EDWIN,BANNISTER,JOHN EDWIN,74123,74123,Private,0
BARAZINI,GEORGE,BARAZINE,GEORGE,63147,63147,Private,0
BARRATT,GEORGE WILLIAM,BARRETT,GEORGE WILLIAM,63116,63116,Private,0
BARRAU,AIME JEAN,BARRAN,AIME JEAN,74222,74222,Private,0
BAYN (BOLAND),JOHN,BAYN,JOHN,72205,72205,Private,0
BISSET,THOMAS,BISSETT,THOMAS,27804,27804,Private,0
BLANCHETT,CHRISTOPHER,BLANCHETTE,CHRISTOPHER,18159,18159,Private,0
BROMMELL,ROBERT BRUCE,BERNARD,R,1062,1062,Private,0
CAMERON,WILLIAM,CREIGHTON,WILLIAM A,9181,9181,Private,0
CARROL,PETER JAMES,CARROLL,PETER JAMES,29430,29430,Lance Corporal,0
CAZMIRCHUK,WILLIAM,CAZMACHUK,WILLIAM,18331,18331,Private,0
CHANTRY,ALFRED,CHANTREY,ALFRED C,7729,7729,Private,0
CLARK,GEORGE,CLARKE,GEORGE,439,439,Private,0
CLARKE,THOMAS,CLARK,THOMAS,2517,2517,Private,0
COHEN,HARRY,CLARKE,HARRY,18330,18330,Private,0
CORDOZO,GEORGE,CORDOZA,GEORGE,11216,11216,Private,0
CORREGAN,THOMAS HOWARD,CORRIGAN,THOMAS HOWARD,1037,1037,Private,0
CROSS,HARRY PERCY,CLARK,HARRY WILLIAM JAMES,78,78,Private,0
DAFFURN,ALBERT,DAFFERN,ALBERT,118,118,Private,0
DASTOUS,AMEDEE,DASTOU,AMEDIE,26429,26429,Private,0
DE COURCY,THOMAS,DECOURCEY,THOMAS,42,42,Private,0
DE GRUCHY,JOSHUA LOVERTY,DEGRUCHY,JOSHUA LOVERTY,18608,18608,Corporal,0
DE PAIVA,JOSEPH HENRY,DEPAIVA,JOSEPH HENRY,29036,29036,Private,0
DICKSON,CHARLES,DIXON,CHARLES,46475,46475,Private,0
ELLIOT,ALEXANDER MCLAREN,ELLIOTT,ALEXANDER MCLAREN,6327,6327,Private,0
ELLMORE,WILLIAM,ELMER,WILLIAM,414333,414333,Private,0
FITZGIBBINS,GERALD,FITZGIBBONS,GERALD,20478,20478,Private,0
FLOWERS,ERNEST,FLOWER,ERNEST,19713,19713,Private,0
GALSWORTH,JAMES,GALSWORTHY,JAMES,19720,19720,Private,0
GAUGHAN,JOHN,GOW,JOHN,18198,18198,Corporal,0
GREETHAM,FRANK,GREETHANM,FRANK,10031,10031,Private,0
HAFFEDEN,ARTHUR JOHN FULLER,HAFFENDEN,ARTHUR JOHN FULLER,23279,23279,Private,0
HALLIFAX,REUBEN,HALIFAX,RUBEN,24948,24948,Private,0
HALLURD,JAMES,HALLORD,JAMES,19872,19872,Private,0
HARRIES,RODERICK,HARRIS,RODERICK,51200,51200,Private,0
HAYDON,EDWIN ERNEST,HAYDEN,EDWIN ERNEST,7637,7637,Lance Corporal,0
HIGGINBOTTOM,HENRY HEDLEY,HEDLEY,HENRY,460960,460960,Private,0
HILL,CHARLES HAYDOCK,HEMMINGS,CHARLES HAYDOCK,28739,28739,Private,0
HOMERSHAW,THOMAS GRAY,HOMERSHAM,THOMAS GRAY,51191,51191,Private,0
HOWISSON,ADAM,HOWIESON,ADAM,77990,77990,Private,0
JOHNSTON,JOHN EDGAR WAKENSHAW,JOHNSON,JOHN,51244,51244,Private,0
KEATES,ALFRED ALLEN,KEATS,ALFRED ALLAN,1152,1152,Private,0
KEERS,FREDERICK,KEIRS,FREDERICK,19878,19878,Private,0
KILBY,SAMUEL SIDNEY,KIBLY,SAMUEL SIDNEY,47425,47425,Private,0
LEAFE,THOMAS,LEAF,THOMAS,21280,21280,Private,0
LESLIE-MELVILLE,HENRY WILLIAM,LAVALLIE,HARRY,202,202,Gunner,0
MACBETH,JAMES,MCBETH,JAMES,6287,6287,Sergeant,0
MACCALLUM,ALASDAIR SMITH,MCCALLUM,ADASDAIR SMITH,6110,6110,Gunner,0
MACDONALD,ALFRED,MCDONALD,ALFRED,8121,8121,Private,0
MACDONALD,JAMES,MCDONALD,JAMES,10679,10679,Private,0
MACDONALD,JOHN GEORGE,MCDONALD,JOHN GEORGE,46971,46971,Private,0
MACDONALD,KENNETH NEIL,MCDONALD,KENNETH NEIL,24329,24329,Private,0
MACDONALD,PETER GEORGE,MCDONALD,PETER GEORGE,13763,13763,Private,0
MACDONALD,RICHARD FALCONER,MCDONALD,RICHARD F,24853,24853,Private,0
MACDONALD,RODERICK,MCDONALD,RODERICK D'ARCY,17418,17418,Private,0
MACFARLANE,HUGH,MCFARLANE,HUGH,24156,24156,Corporal,0
MACKELLAR,DUNCAN WILLIAM,MCKELLAR,DUNCAN,132898,132898,Private,0
MACLACHLAN,ANGUS,MCLACHLAN,ANGUS,848,848,Private,0
MACLEOD,GEORGE HENRY,MCLEOD,GEORGE HENRY,443357,443357,Private,0
MACLEOD,MALCOLM CHADSEY,MCLEOD,MALCOLM C,17148,17148,Private,0
MACMILLAN,JOHN HECTOR NEIL,MCMILLAN,JOHN HECTOR NEIL,81657,81657,Lance Corporal,0
MACNAUGHTON,DONALD JOHN,MCNAUGHTON,DONALD JOHN,8232,8232,Private,0
MACRITCHIE,JOHN,MCRITCHIE,JOHN,51312,51312,Private,0
MAGEEHAN,JAMES,MAGEEHAM,JAMES,6364,6364,Lance Corporal,0
MANNING,EDWARD,MOORE,EDWARD L,1970,1970,Private,0
MCDERMOTT (MACDERMOTT),CHARLES GREGORY,MACDERMOTT,CHARLES GREGORY,29255,29255,Private,0
MCDONELL,DUNCAN JAMES,MCDONNELL,DUNCAN J,29128,29128,Private,0
MCINNIS,ARTHUR,MCINNES,ARTHUR,17259,17259,Private,0
MCKENZIE,ANDREW,MACKENZIE,ANDREW,24561,24561,Private,0
MCKENZIE,JAMES,MACKENZIE,JAMES,74,74,Private,0
MCKEW,EDWARD JOHN,MACKEW,EDWARD JOHN,20704,20704,Private,0
MCLEOD,MURDO,MACLEOD,MURDO,106446,106446,Private,0
MONTANELLI,JOHN,MONTANELL,JOHN,24267,24267,Private,0
MURDOCH,JOHN,MURDOCK,JOHN,6708,6708,Private,0
NESBIT,THOMAS OSWALD,NESBITT,THOMAS OSWALD,20272,20272,Company Sergeant Major,0
O'BRIEN,CHARLES,OBRIEN,CHARLES,22781,22781,Corporal,0
O'CONNELL,WILLIAM,OCONNELL,WILLIAM,1823,1823,Private,0
O'CONNOR,CHARLES LAWRENCE,OCONNOR,CHARLES LAWRENCE BERNARD,9392,9392,Sergeant,0
O'CONNOR,JAMES,OCONNOR,JAMES,90365,90365,Gunner,0
O'DONOGHUE,TIMOTHY,ODONOGHUE,TIMOTHY,22099,22099,Private,0
O'DOWD,ROBERT,ODOWD,ROBERT,884,884,Private,0
O'HANDLEY,PETER,OHANDLEY,PETER,63698,63698,Private,0
O'KEEFE,DANIEL,OKEEFE,DANIEL,23562,23562,Private,0
O'KEEFE,ONEY,OKEEFE,ONEY,65746,65746,Private,0
O'LEARY,JOHN JOSEPH,OLEARY,JOHN JOSEPH,20656,20656,Private,0
O'NEIL,THOMAS JAMES,ONEIL,THOMAS JAMES,81678,81678,Private,0
O'NEILL,PERCY RAY,ONEILL,PERCY RAY,55676,55676,Private,0
O'NEILL,VERNER SCOTT,ONEIL,VERNON SCOTT,55677,55677,Private,0
O'REILLY,THOMAS ANTHONY,OREILLY,THOMAS ANTHONY,2552,2552,Private,0
O'ROURKE,DAVID,OROURKE,DAVID,19612,19612,Corporal,0
O'TOOLE,JOSEPH,OTOOLE,JOSEPH,42561,42561,Gunner,0
PINSONNEAULT,ELMER,PINSONEAULT,ELMER,63716,63716,Private,0
QUINN,JAMES EDWARD,QUIN,JAMES E,24640,24640,Private,0
SCHLOESSER,ALBERT,SCHLOSSER,ALBERT,28789,28789,Private,0
SHARP,ERNEST,SHARPE,ERNEST,63842,63842,Private,0
SHEPPARD,HENRY,SHEPPHARD,H C,1468,1468,Private,0
SHERRIFF,LORNE ALBERT,SHERIFF,LORNE,187,187,Private,0
SLANEY,REGINALD AMBROSE,STANEY,REGINALD AMBROSE,20259,20259,Private,0
SMALL,WILLIAM,SEWALL,WILLIAM,1354,1354,Private,0
STE MARIE,ADRIEN,ST MARIE,ADRIAN,65867,65867,Private,0
STEPHEN,JAMES,STEPHENS,JAMES,41037,41037,Gunner,0
STREETON,JOHN DE COURCY,STRETTON,JOHN DE COURCY,808979,808979,Second Lieutenant,0
STROMBEH,JACK,STROMBEK,JACK,28090,28090,Private,0
TANCRIDE,ALEXANDRE,TANCREDE,ALEXANDER,61593,61593,Private,0
THOMSON,GILBERT,THOMPSON,GILBERT,8584,8584,Private,0
TOWNSHEND,FRANCIS CHARLES,TOWNSEND,FRANK,24084,24084,Sergeant,0
TWYNAM,WILLIAM HUGH,TWYMAN,WILLIAM HUGH,16391,16391,Corporal,0
VAN RIJN,ARIE HENDRICUS,VANRYN,ARIE HENDRICUS,9257,9257,Private,0
VAN SCHEPDAEL,ANTON LEONE,VANSCHEPDAEL,A L,19632,19632,Private,0
VAN-ACHTE,PAUL,VANACHTE,PAUL,19810,19810,Private,0
VENNEEAR,WALTER,VENNEAR,WALTER,1490,1490,Private,0
WAMBOLDT,WILLIAM,WAMBOULT,WILLIAM,470012,470012,Private,0
