Lname,Fname,Freq,Times
ABBOTT,CHARLES HENRY,1.5210513E-5,1,Lance Corporal
ABBOTT,FREDERICK CHARLES,1.5210513E-5,1,Corporal
ABBOTT,HENRY HARRY,1.5210513E-5,1,Corporal
ABBOTT,JOHN JAMES,1.5210513E-5,1,Private
ABLARD,HENRY CHARLES,1.5210513E-5,1,Sergeant
ABNETT,ALFRED,1.5210513E-5,1,Private
ABRAHAMSEN,JOHN,1.5210513E-5,1,Private
ADAMS,ANTHONY HENRY,1.5210513E-5,1,Private
ADAMS,ARTHUR,1.5210513E-5,1,Company Quarter Master Sergeant
ADAMS,ARTHUR WILLIAM HAMILTON,1.5210513E-5,1,Sapper
ADAMS,CHARLES HENRY,1.5210513E-5,1,Private
ADAMS,CHARLES JOHN,1.5210513E-5,1,Private
ADAMS,FRANK MERTON,1.5210513E-5,1,Private
ADAMS,FRED,1.5210513E-5,1,Private
ADAMS,FREDERICK GEORGE ARTHUR,1.5210513E-5,1,Private
ADAMS,GEOFFREY LLOYD,1.5210513E-5,1,Private
ADAMS,GEORGE FREDERICK,1.5210513E-5,1,Private
ADAMS,JOHN BAPTISTE,1.5210513E-5,1,Lance Corporal
ADAMS,WILLIAM FREDERICK,1.5210513E-5,1,Private
ADAMSON,ARTHUR ROBERT,1.5210513E-5,1,Private
ADAMSON,JAMES S,1.5210513E-5,1,Private
ADAMSON,MINTO TORRANCE,1.5210513E-5,1,Private
ADAMTHWAITE,ALBERT JAMES,1.5210513E-5,1,Lance Corporal
ADCOCK,WILLIS ELWIN,1.5210513E-5,1,Lance Corporal
ADDISON,JOSEPH,1.5210513E-5,1,Private
ADES,BERT H,1.5210513E-5,1,Private
ADSHEAD,HARRY PERCY,1.5210513E-5,1,Private
AERTS,LAURENT,1.5210513E-5,1,Private
AGER,GEORGE SAMUEL,1.5210513E-5,1,Lieutenant
AIKENHEAD,ROBERT,1.5210513E-5,1,Private
AIKENS,VINCENT THOMAS JOSEPH,1.5210513E-5,1,Private
AITCHISON,DAVID LAUGHLIN,1.5210513E-5,1,Private
AITKEN,HENRY,1.5210513E-5,1,Private
AITKEN,WILLIAM,1.5210513E-5,1,Private
AITKENS,GEORGE,1.5210513E-5,1,Private
AITKENS,JAMES,1.5210513E-5,1,Private
ALBROW,ARCHIE,1.5210513E-5,1,Private
